縣市,統計期,業者名稱,類別,基地臺
宜蘭縣,1150731,中華電信股份有限公司,4G,760
宜蘭縣,1150731,台灣大哥大股份有限公司,5G,552
宜蘭縣,1150731,遠傳電信股份有限公司,4G,482
宜蘭縣,1150731,中華電信股份有限公司,5G,827
宜蘭縣,1150731,台灣大哥大股份有限公司,4G,506
宜蘭縣,1150731,遠傳電信股份有限公司,5G,602
花蓮縣,1150731,台灣大哥大股份有限公司,5G,614
花蓮縣,1150731,遠傳電信股份有限公司,4G,548
花蓮縣,1150731,台灣大哥大股份有限公司,4G,488
花蓮縣,1150731,中華電信股份有限公司,4G,803
花蓮縣,1150731,遠傳電信股份有限公司,5G,704
花蓮縣,1150731,中華電信股份有限公司,5G,776
金門縣,1150731,遠傳電信股份有限公司,5G,70
金門縣,1150731,中華電信股份有限公司,5G,232
金門縣,1150731,中華電信股份有限公司,4G,390
金門縣,1150731,台灣大哥大股份有限公司,4G,80
金門縣,1150731,台灣大哥大股份有限公司,5G,78
金門縣,1150731,遠傳電信股份有限公司,4G,122
南投縣,1150731,台灣大哥大股份有限公司,4G,620
南投縣,1150731,台灣大哥大股份有限公司,5G,545
南投縣,1150731,中華電信股份有限公司,4G,806
南投縣,1150731,遠傳電信股份有限公司,5G,711
南投縣,1150731,中華電信股份有限公司,5G,911
南投縣,1150731,遠傳電信股份有限公司,4G,578
屏東縣,1150731,中華電信股份有限公司,4G,1158
屏東縣,1150731,台灣大哥大股份有限公司,5G,663
屏東縣,1150731,台灣大哥大股份有限公司,4G,786
屏東縣,1150731,遠傳電信股份有限公司,5G,753
屏東縣,1150731,中華電信股份有限公司,5G,1008
屏東縣,1150731,遠傳電信股份有限公司,4G,768
苗栗縣,1150731,台灣大哥大股份有限公司,4G,647
苗栗縣,1150731,中華電信股份有限公司,5G,1025
苗栗縣,1150731,中華電信股份有限公司,4G,1049
苗栗縣,1150731,遠傳電信股份有限公司,4G,654
苗栗縣,1150731,遠傳電信股份有限公司,5G,747
苗栗縣,1150731,台灣大哥大股份有限公司,5G,589
桃園市,1150731,中華電信股份有限公司,5G,2435
桃園市,1150731,中華電信股份有限公司,4G,1691
桃園市,1150731,台灣大哥大股份有限公司,4G,1601
桃園市,1150731,台灣大哥大股份有限公司,5G,1841
桃園市,1150731,遠傳電信股份有限公司,5G,1590
桃園市,1150731,遠傳電信股份有限公司,4G,1318
高雄市,1150731,遠傳電信股份有限公司,5G,2076
高雄市,1150731,台灣大哥大股份有限公司,4G,1920
高雄市,1150731,台灣大哥大股份有限公司,5G,2162
高雄市,1150731,中華電信股份有限公司,4G,2745
高雄市,1150731,中華電信股份有限公司,5G,2732
高雄市,1150731,遠傳電信股份有限公司,4G,1727
基隆市,1150731,中華電信股份有限公司,5G,378
基隆市,1150731,台灣大哥大股份有限公司,4G,217
基隆市,1150731,遠傳電信股份有限公司,4G,279
基隆市,1150731,中華電信股份有限公司,4G,319
基隆市,1150731,遠傳電信股份有限公司,5G,330
基隆市,1150731,台灣大哥大股份有限公司,5G,259
連江縣,1150731,台灣大哥大股份有限公司,5G,40
連江縣,1150731,遠傳電信股份有限公司,5G,41
連江縣,1150731,中華電信股份有限公司,5G,73
連江縣,1150731,台灣大哥大股份有限公司,4G,26
連江縣,1150731,遠傳電信股份有限公司,4G,28
連江縣,1150731,中華電信股份有限公司,4G,91
雲林縣,1150731,台灣大哥大股份有限公司,4G,496
雲林縣,1150731,台灣大哥大股份有限公司,5G,558
雲林縣,1150731,中華電信股份有限公司,4G,860
雲林縣,1150731,遠傳電信股份有限公司,5G,562
雲林縣,1150731,中華電信股份有限公司,5G,915
雲林縣,1150731,遠傳電信股份有限公司,4G,545
新北市,1150731,中華電信股份有限公司,4G,2435
新北市,1150731,台灣大哥大股份有限公司,4G,2338
