SITE_ID,Agency Codes,MINISTRY,AGENCY,STYPE,NAME,VENDOR_ID,HOTSPOT_ID,ZipCode,county,AREA,ADDR,LATITUDE,LONGITUDE,E-MINISTRY,E_AGENCY,E_STYPE,E_NAME,E_CITY,E_AREA,E_ADDR
TPEE000001,379530800H,臺北市政府,臺北市公共運輸處,公車站,天母棒球場-N-忠誠路二段,TAIFO,TPEE000001,111,臺北市,士林區,111臺北市士林區忠誠路二段77號前方候車亭,25.1133101,121.5318822,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Tianmu Baseball Stadium N-Sec. 2, Zhongcheng rd.",Taipei City,Shilin District,"The bus station front of No. 77, Sec. 2, Zhongcheng Rd., Shilin District, Taipei City 111, Taiwan (R.O.C.)"
TPEE000002,379530800H,臺北市政府,臺北市公共運輸處,公車站,陽明高中-W2-中正路,TAIFO,TPEE000002,111,臺北市,士林區,111臺北市士林區中正路497號對面候車亭,25.0922602,121.5180071,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Yangming High School W2-Zhongzheng rd.,Taipei City,Shilin District,"The bus station on the opposite side of No. 497, Zhongzheng Rd., Shilin District, Taipei City 111, Taiwan,  (R.O.C.)"
TPEE000003,379530800H,臺北市政府,臺北市公共運輸處,公車站,衛理女中-E-至善路二段,TAIFO,TPEE000003,111,臺北市,士林區,111臺北市士林區至善路二段321號對面候車亭,25.1016655,121.5526898,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Wesley Girls High School E-Sec. 2, Zhishan rd.",Taipei City,Shilin District,"The bus station on the opposite side of No. 321, Sec. 2, Zhishan Rd., Shilin District, Taipei City 111, Taiwan, R.O.C."
TPEE000004,379530800H,臺北市政府,臺北市公共運輸處,公車站,泰北中學-E1-福林路,TAIFO,TPEE000004,111,臺北市,士林區,111臺北市士林區福林路240號(泰北高中旁)候車亭,25.0971700,121.5335200,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Private Taibei Senior High School-E1-Fulin Rd.,Taipei City,Shilin District,"The bus station(Next to Taibei High School) No. 240, Fulin Rd., Shilin Dist., Taipei City 111 , Taiwan (R.O.C.)"
TPEE000005,379530800H,臺北市政府,臺北市公共運輸處,公車站,士林高商-S-士商路,TAIFO,TPEE000005,111,臺北市,士林區,111臺北市士林區士商路153號對面附近候車亭,25.0941540,121.5171050,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Shilin High School of Commerce S-Shishang rd.,Taipei City,Shilin District,"The bus station on the opposite side of No. 153, Shishang Rd., Shilin Dist., Taipei City 111, Taiwan (R.O.C.)"
TPEE000006,379530800H,臺北市政府,臺北市公共運輸處,公車站,雨農國小-W-雨聲街,TAIFO,TPEE000006,111,臺北市,士林區,111臺北市士林區忠義街1號雨農國小後門候車亭(雨聲街本線上),25.1047015,121.5302360,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Yu Nong Elementary School-W-Yusheng St.,Taipei City,Shilin District,"The bus station at the back door of Yu Nong Elementary School(Yusheng St Main Line) No. 1, Zhongyi St., Shilin Dist., Taipei City 111 , Taiwan (R.O.C.)"
TPEE000007,379530800H,臺北市政府,臺北市公共運輸處,公車站,社子國小-N-延平北路六段,TAIFO,TPEE000007,111,臺北市,士林區,111臺北市士林區延平北路六段308號旁候車亭,25.0898162,121.5026565,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Shezi Elementary School-N-Section 6 of Yanping North Road,Taipei City,Shilin District,"The bus station near No. 308, Sec. 6, Yanping N. Rd., Shilin Dist., Taipei City 111 , Taiwan (R.O.C.)"
TPEE000011,379530800H,臺北市政府,臺北市公共運輸處,公車站,市立臺北特教學校-N-忠誠路二段,TAIFO,TPEE000011,111,臺北市,士林區,111臺北市士林區忠誠路二段207巷1號旁候車亭(忠誠路2段本線),25.1172725,121.5346782,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Taipei School of Special Education N-Sec. 2, Zhongcheng rd.",Taipei City,Shilin District,"The bus station next to No. 1, Ln. 207, Sec. 2, Zhongcheng Rd., Shilin Dist., Taipei City 111 , Taiwan (R.O.C.)(Zhongcheng Rd Section 2 Main Line)"
TPEE000012,379530800H,臺北市政府,臺北市公共運輸處,公車站,市立臺北特教學校-S-忠誠路二段,TAIFO,TPEE000012,111,臺北市,士林區,111臺北市士林區忠誠路二段200號前方候車亭,25.1171160,121.5342892,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Taipei School of Special Education S-Sec. 2, Zhongcheng rd.",Taipei City,Shilin District,"The bus station front of No. 200, Sec. 2, Zhongcheng Rd., Shilin District, Taipei City 111, Taiwan (R.O.C.)"
TPEE000013,379530800H,臺北市政府,臺北市公共運輸處,公車站,天母棒球場-S-忠誠路二段,TAIFO,TPEE000013,111,臺北市,士林區,111臺北市士林區忠誠路二段134號前候車亭,25.1141673,121.5322068,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Tianmu Baseball Stadium S-Sec. 2, Zhongcheng rd.",Taipei City,Shilin District,"The bus station front of No. 134, Sec. 2, Zhongcheng Rd., Shilin District, Taipei City 111, Taiwan, R.O.C."
TPEE000014,379530800H,臺北市政府,臺北市公共運輸處,公車站,蘭雅國中-S1-忠誠路二段,TAIFO,TPEE000014,111,臺北市,士林區,111臺北市士林區忠誠路二段27號對面候車亭,25.1095358,121.5303708,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Lanya Junior High School S1-Sec. 2, Zhongcheng rd.",Taipei City,Shilin District,"The bus station on the opposite side of No. 27, Sec. 2, Zhongcheng Rd., Shilin District, Taipei City 111, Taiwan (R.O.C.)"
TPEE000015,379530800H,臺北市政府,臺北市公共運輸處,公車站,雨農國小-S1-忠誠路一段,TAIFO,TPEE000015,111,臺北市,士林區,111臺北市士林區忠誠路一段105號前候車亭,25.1050735,121.5285365,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Yunong Elementary School S1-Sec. 1, Zhongcheng rd.",Taipei City,Shilin District,"The bus station front of No. 105, Sec. 1, Zhongcheng Rd., Shilin District, Taipei City 111,Taiwan (R.O.C.)"
TPEE000016,379530800H,臺北市政府,臺北市公共運輸處,公車站,聯合醫院陽明院區-E-忠義街,TAIFO,TPEE000016,111,臺北市,士林區,111臺北市士林區忠義街40號對面候車亭,25.1053931,121.5305183,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Tcuh Yangming Branch-Zhongyi st.,Taipei City,Shilin District,"The bus station on the opposite side of No. 40, Zhongyi St., Shilin District, Taipei City 111, Taiwan (R.O.C.)"
