"Ministry","Area","Agency","Name","Address","Administration","Latitude","Longitude"
"中央選舉委員會","臺北市","中央選舉委員會","中央聯合辦公大樓南棟","100臺北市中正區徐州路5號1樓","洽公場所","25.0422099","121.5194700"
"內政部","臺北市","內政部","內政部","100臺北市中正區徐州路5號3樓","洽公場所","25.0422099","121.5194700"
"衛生福利部","彰化縣","衛生福利部中區老人之家","衛生福利部中區老人之家","520彰化縣田中鎮中南路二段210號","洽公場所","23.8559740","120.6159560"
"衛生福利部","臺中市","衛生福利部中區兒童之家","衛生福利部中區兒童之家行政中心","403臺中市西區大明街27號","洽公場所","24.1393030","120.6741250"
"內政部","臺中市","內政部","黎明辦公室","408臺中市南屯區黎明路二段503號1樓","洽公場所","24.1555580","120.6338540"
"衛生福利部","新竹市","衛生福利部少年之家","衛生福利部少年之家","300新竹市北區崧嶺路181號","洽公場所","24.7962070","120.9561110"
"衛生福利部","新北市","衛生福利部北區老人之家","衛生福利部北區老人之家行政中心","231新北市新店區屈尺路83號","洽公場所","24.9217780","121.5450850"
"衛生福利部","桃園市","衛生福利部北區兒童之家","衛生福利部北區兒童之家","338桃園市蘆竹區中山路108巷36號","洽公場所","25.0526290","121.3006680"
"衛生福利部","花蓮縣","衛生福利部東區老人之家","衛生福利部東區老人之家","970花蓮縣花蓮市民權路125號","洽公場所","23.9894920","121.6269810"
"衛生福利部","南投縣","衛生福利部衛生福利人員訓練中心","衛生福利部衛生福利人員訓練中心","542南投縣草屯鎮南埔里南坪路528號","洽公場所","23.9740690","120.7296730"
"衛生福利部","南投縣","衛生福利部南投啟智教養院","衛生福利部南投啟智教養院","551南投縣名間鄉仁和村山腳巷1-7號","洽公場所","23.8493430","120.7014710"
"衛生福利部","屏東縣","衛生福利部南區老人之家","衛生福利部南區老人之家行政大樓","900屏東縣屏東市瑞光里香揚巷1號","洽公場所","22.6670930","120.5087480"
"衛生福利部","高雄市","衛生福利部南區兒童之家","衛生福利部南區兒童之家","811高雄市楠梓區楠梓路416號","洽公場所","22.7368410","120.3256038"
"內政部","臺北市","內政部建築研究所","智慧化居住空間展示中心","116臺北市文山區景福街102號","其他","24.9991240","121.5367980"
"內政部","臺中市","內政部國土測繪中心","內政部國土測繪中心地籍資料庫","408臺中市南屯區博愛街80巷51號","洽公場所","24.1532660","120.6334260"
"衛生福利部","雲林縣","衛生福利部雲林教養院","衛生福利部雲林教養院會客區","630雲林縣斗南鎮忠孝路157號","洽公場所","23.6734160","120.4906440"
"衛生福利部","臺南市","衛生福利部臺南教養院","衛生福利部台南教養院社工科","731臺南市後壁區菁寮里後廍68號","洽公場所","23.3665100","120.3550810"
"衛生福利部","澎湖縣","衛生福利部澎湖老人之家","衛生福利部澎湖老人之家","880澎湖縣馬公市光華里123號","洽公場所","23.5597880","119.6030260"
"內政部","臺北市","內政部國土管理署","內政部國土管理署1樓大廳","105臺北市松山區八德路二段342號","洽公場所","25.0475950","121.5446821"
"內政部","臺北市","內政部國土管理署","內政部國土管理署1樓會議室","105臺北市松山區八德路二段342號","洽公場所","25.0475950","121.5446821"
"內政部","臺北市","內政部國土管理署","內政部國土管理署5樓大禮堂","105臺北市松山區八德路二段342號","洽公場所","25.0475950","121.5446821"
"內政部","臺北市","內政部國土管理署","內政部國土管理署6樓會議室","105臺北市松山區八德路二段342號","洽公場所","25.0475950","121.5446821"
"內政部","臺北市","內政部國土管理署","內政部國土管理署B1第1會議室","105臺北市松山區八德路二段342號","洽公場所","25.0475950","121.5446821"
"內政部","臺北市","內政部國土管理署","內政部國土管理署B1第3會議室","105臺北市松山區八德路二段342號","洽公場所","25.0475950","121.5446821"
"內政部","臺中市","內政部國土管理署","內政部國土管理署中區工程處1樓大廳","401臺中市東區和平街121號","洽公場所","24.1346040","120.6869000"
"內政部","臺中市","內政部國土管理署","內政部國土管理署中區工程處3樓會議室","401臺中市東區和平街121號","洽公場所","24.1346040","120.6869000"
"內政部","臺中市","內政部國土管理署","內政部國土管理署中區工程處6樓會議室","401臺中市東區和平街121號","洽公場所","24.1346040","120.6869000"
"內政部","南投縣","內政部國土管理署","內政部國土管理署營建管理組1樓檔案室","542南投縣草屯鎮中興新村省府路38號","洽公場所","23.9530620","120.6730860"
"內政部","新北市","內政部國土管理署","內政部國土管理署北區工程處1樓大廳","235新北市中和區南山路60-2號","洽公場所","24.9961460","121.5023090"
"內政部","新北市","內政部國土管理署","內政部國土管理署北區工程處B1會議室","235新北市中和區南山路60-2號","洽公場所","24.9961460","121.5023090"
"內政部","新北市","內政部國土管理署","內政部國土管理署北區工程處會議室","235新北市中和區南山路60-2號","洽公場所","24.9961460","121.5023090"
"內政部","臺中市","內政部國家公園署國家自然公園管理處","臺中都會公園生態教室","407臺中市西屯區都會園路1215巷140號","旅遊景點","24.2056420","120.5962560"
"內政部","臺中市","內政部國家公園署國家自然公園管理處","臺中都會公園遊客中心","407臺中市西屯區都會園路1215巷140號","旅遊景點","24.2056420","120.5962560"
"內政部","臺中市","內政部國家公園署國家自然公園管理處","臺中都會公園行政中心","407臺中市西屯區都會園路1215巷140號","旅遊景點","24.2056420","120.5962560"
"內政部","高雄市","內政部國土管理署","內政部國土管理署南區工程處1樓大廳","800高雄市新興區五福二路200號","洽公場所","22.6247530","120.3050950"
"內政部","高雄市","內政部國土管理署","內政部國土管理署南區工程處3F(會議室)","800高雄市新興區五福二路200號","其他","22.6247530","120.3050950"
"內政部","高雄市","內政部國土管理署","內政部國土管理署南區工程處7F(會議室)","800高雄市新興區五福二路200號","其他","22.6247530","120.3050950"
"內政部","臺北市","內政部國土管理署","內政部國土管理署3樓記者室","105臺北市松山區八德路二段342號","洽公場所","25.0475950","121.5446821"
"內政部","高雄市","內政部國家公園署國家自然公園管理處","高雄都會公園兒童圖書室","811高雄市楠梓區德民路24號","旅遊景點","22.7302720","120.3146820"
"內政部","高雄市","內政部國家公園署國家自然公園管理處","高雄都會公園活動中心","811高雄市楠梓區德民路24號","旅遊景點","22.7302720","120.3146820"
"內政部","高雄市","內政部國家公園署國家自然公園管理處","高雄都會公園研習教室","811高雄市楠梓區德民路24號","旅遊景點","22.7302720","120.3146820"
